altura,fnac,fortuna,nacionalidad,nombre,peso
,"September 27, 1976",[101600000.0],Italian,Francesco Totti,[82.0]
[1.74],"January 26, 1963",[100000000.0],Portuguese,José Mário dos Santos Mourinho Félix,[74.0]
[1.73],"October 23, 1940",[100000000.0],Brazilian,Edison Arantes do Nascimento,[69.0]
,"November 11, 1983",[100000000.0],German,Philipp Lahm ,[65.0]
[1.7],"January 7, 1991",[100000000.0],Belgian,Eden Hazard ,[56.0]
[1.86],"April 22, 1982",[100000000.0],Brazil,Ricardo Izecson dos Santos Leite,[82.0]
[1.8],"March 10, 1981",[95000000.0],Cameroonian,Samuel Eto'o Fils,[79.0]
[1.83],"July 16, 1989 ",[90000000.0],Welsh,Gareth Frank Bale,[74.0]
[1.88],11 March 1978,[90000000.0],Ivorian,Didier Yves Drogba Tébily,[91.0]
[1.95],"October 3, 1981",[90000000.0],Sweden,Zlatan Ibrahimovic,
[1.82],"March 21, 1980",[90000000.0],Brazilian,Ronaldo de Assis Moreira,
,"May 11, 1984",[86000000.0],Spanish,Andres Iniesta Lujan,
[1.83],"March 30, 1986",[80000000.0],Spanish,Sergio Ramos García,[81.0]
[1.8],"January 23, 1984",[80000000.0],Dutch,Arjen Robben,[80.0]
,"August 9, 1988",[75000000.0],Brazilian,Willian Borges da Silva,[70.0]
[1.88],7 November 1978,[75000000.0],British,Rio Gavin Ferdinand,
[1.85]," April 19, 1972",[74000000.0],Brazil,Rivaldo Vítor Borba Ferreira,
[1.73],"June 2, 1988",[70000000.0],Argentine,"Sergio Leonel ""Kun"" Agüero del Castillo",[77.0]
,"December 12, 1930",[1300000000.0],Brazil,Senor Abravanel,
[1.58]," October 21, 1980",[780000000.0],American,Kimberly Noel Kardashian,[53.0]
[1.75],"October 7, 1959",[550000000.0],United Kingdom,Simon Phillip Cowell,[74.0]
,"April 12, 1947",[425000000.0],United States,David Michael Letterman,
[1.77],"May 27, 1975",[400000000.0],English,James Trevor Oliver,
[1.93]," September 1, 1950",[400000000.0],United States,Phillip Calvin McGraw,
[1.8],"December 24, 1974",[375000000.0],United States,Ryan John Seacrest,[68.0]
[1.71],"January 26, 1958",[330000000.0],American,Ellen Lee DeGeneres,[64.0]
,"March 13, 1959 ",[300000000.0],United States,Kathleen Elizabeth Avanzino,
[1.69],"February 23, 1969 ",[250000000.0],United States,Daymond John,
[1.58],"October 9, 1952",[220000000.0],United Kingdom,Sharon Rachel Osbourne,
,,[200000000.0],United States,,
,,[200000000.0],United States,,
,"September 25, 1929",[150000000.0],American,Barbara Jill Walters ,
[1.75],"November 19, 1933",[150000000.0],American,Lawrence Harvey Zeiger,
,,[100000000.0],United States,,
[1.88],"October 28, 1949",[100000000.0],American,Caitlyn Marie (William Bruce) Jenner ,[97.0]
[1.85],"April 19, 1969",[100000000.0],American,Jesse Gregory James,
,"July 17, 1912",[90000000.0],American,Gordon Arthur Kelly,
[1.93],"September 10, 1949",[85000000.0],American,"William James O'Reilly, Jr.",
[1.69],"November 28, 1962",[80000000.0],American,Jonathan Stuart Leibowitz,
[1.83],"December 30, 1961",[80000000.0],American,Sean Patrick Hannity,
[1.73],"July 22, 1940",[75000000.0],Canadian-American,George Alexander Trebek,
," September 4, 1961",[75000000.0],United States,Adrienne Maloof,
,"August 25, 1968",[75000000.0],United States,Rachael Ray,
[1.91],"April 11, 1980",[75000000.0],American,Mark Charles Teixeira,
[1.96],"June 15, 1972",[75000000.0],United States,"Andrew Eugene ""Andy"" Pettitte ",[102.0]
[1.85],"December 8, 1978",[75000000.0],United States,Vernon Michael Wells III,[104.0]
,"March 11, 1974",[70000000.0],Venezuelan,Bob Kelly Abreu,
,"May 24, 1973",[70000000.0],Dominican-American,Bartolo Colon,[120.0]
